dataset_id,source_kind,name,url,use,ok,status_code,final_url,title,content_type,bytes_read,has_sensitive_pattern_in_probe,keywords,error
galicia,current_hint_source,APYDE ficha pública,https://www.apyde.com/electrificacion-sl/,Fuente ya usada en distributor_hints.json.,True,200,https://www.apyde.com/electrificacion-sl/,Compañía de Electrificación S.L. – APYDE,text/html; charset=UTF-8,129363,True,distribución | red,
galicia,current_hint_source,CNMC C/1436/24 Grupo EHR/Moscoso,https://www.cnmc.es/sites/default/files/5198696.pdf,Fuente ya usada en distributor_hints.json.,True,200,https://www.cnmc.es/sites/default/files/5198696.pdf,,application/pdf,106233,True,cnmc,
galicia,current_hint_source,APYDE ficha pública,https://www.apyde.com/hidroelectrica-arnego/,Fuente ya usada en distributor_hints.json.,True,200,https://www.apyde.com/hidroelectrica-arnego/,Hidroeléctrica del Arnego S.L. – APYDE,text/html; charset=UTF-8,129310,True,distribución | red,
galicia,current_hint_source,APYDE ficha pública,https://www.apyde.com/seta/,Fuente ya usada en distributor_hints.json.,True,200,https://www.apyde.com/seta/,Sociedad Electricista de Tui S.A. – APYDE,text/html; charset=UTF-8,129228,True,distribución | red,
galicia,current_hint_source,DOG 149/2024 UFD en Bueu,https://www.xunta.gal/dog/Publicados/2024/20240802/AnuncioG0763-120724-0002_es.html,Fuente ya usada en distributor_hints.json.,True,200,https://www.xunta.gal/dog/Publicados/2024/20240802/AnuncioG0763-120724-0002_es.html,"DOG 149 del 2/8/2024 - RESOLUCIÓN de 10 de julio de 2024, de la Dirección Territorial de Pontevedra, por la que se concede la autorización administrativa previa y de construcción d",text/html; charset=UTF-8,19911,True,distribución | red | galicia,
galicia,current_hint_source,APYDE ficha pública,https://www.apyde.com/electra-cuntiense/,Fuente ya usada en distributor_hints.json.,True,200,https://www.apyde.com/electra-cuntiense/,"Electra Cuntiense, S.L. – APYDE",text/html; charset=UTF-8,129155,True,red,
galicia,current_hint_source,DOG 108/2025 UFD en Cambados,https://www.xunta.gal/dog/Publicados/2025/20250609/AnuncioG0763-190525-0002_es.html,Fuente ya usada en distributor_hints.json.,True,200,https://www.xunta.gal/dog/Publicados/2025/20250609/AnuncioG0763-190525-0002_es.html,"DOG 108 del 9/6/2025 - RESOLUCIÓN de 9 de mayo de 2025, del Departamento Territorial de Pontevedra, por la que se conceden las autorizaciones administrativas previa y de construcci",text/html; charset=UTF-8,18666,True,distribución | galicia,
galicia,current_hint_source,DOG 160/2025 UFD en Cangas,https://www.xunta.gal/dog/Publicados/2025/20250822/AnuncioG0763-310725-0001_es.html,Fuente ya usada en distributor_hints.json.,True,200,https://www.xunta.gal/dog/Publicados/2025/20250822/AnuncioG0763-310725-0001_es.html,"DOG 160 del 22/8/2025 - RESOLUCIÓN de 30 de julio de 2025, del Departamento Territorial de Pontevedra, por la que se concede la autorización administrativa previa y de construcción",text/html; charset=UTF-8,19544,True,distribución | galicia,
galicia,current_hint_source,DOG 1/2012 + CNMC TPE/DE/010/17,https://www.xunta.gal/dog/Publicados/2012/20120102/AnuncioCA04-241111-9094_es.html,Fuente ya usada en distributor_hints.json.,True,200,https://www.xunta.gal/dog/Publicados/2012/20120102/AnuncioCA04-241111-9094_es.html,"DOG 1 del 2/01/2012 - RESOLUCIÓN de 18 de noviembre de 2011, de la Jefatura Territorial de Pontevedra, por la que se autoriza y se aprueba el proyecto de ejecución de una instalaci",text/html; charset=UTF-8,9739,True,distribución | distribuidora | galicia,
galicia,current_hint_source,DOG 175/2025 UFD en Lalín,https://www.xunta.gal/dog/Publicados/2025/20250911/AnuncioG0763-110825-0007_es.html,Fuente ya usada en distributor_hints.json.,True,200,https://www.xunta.gal/dog/Publicados/2025/20250911/AnuncioG0763-110825-0007_es.html,"DOG 175 del 11/9/2025 - RESOLUCIÓN de 8 de agosto de 2025, del Departamento Territorial de Pontevedra, por la que se conceden las autorizaciones administrativas previa y de constru",text/html; charset=UTF-8,19372,True,distribución | distribuidora | red | municipio | galicia,
