dataset_id,zone_id,municipality,province,review_status,candidate_distributor,candidate_confidence,source_url,source_label,review_notes
andalucia,municipality:cadiz::trebujena,Trebujena,Cádiz,pending_municipal_review,,,,,
andalucia,municipality:cadiz::vejer_de_la_frontera,Vejer de la Frontera,Cádiz,pending_municipal_review,,,,,
andalucia,municipality:cadiz::villaluenga_del_rosario,Villaluenga del Rosario,Cádiz,pending_municipal_review,,,,,
andalucia,municipality:cadiz::zahara,Zahara,Cádiz,pending_municipal_review,,,,,
andalucia,municipality:cordoba::adamuz,Adamuz,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::almodovar_del_rio,Almodóvar del Río,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::baena,Baena,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::belalcazar,Belalcázar,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::benameji,Benamejí,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::bujalance,Bujalance,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::cabra,Cabra,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::cardena,Cardeña,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::canete_de_las_torres,Cañete de las Torres,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::conquista,Conquista,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::cordoba,Córdoba,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::dos_torres,Dos Torres,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::el_guijo,El Guijo,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::el_viso,El Viso,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::encinas_reales,Encinas Reales,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::fernan_nunez,Fernán-Núñez,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::fuente_carreteros,Fuente Carreteros,Córdoba,pending_municipal_review,,,,,
andalucia,municipality:cordoba::fuente_palmera,Fuente Palmera,Córdoba,pending_municipal_review,,,,,
